ParticipantID,BlockID,x,z
1,5,0.02634096,0
1,5,0.07982111,0
1,5,0.1188984,0
1,5,0.1592913,0
1,5,0.1996841,0
1,5,0.240077,0
1,5,0.2804699,0
1,5,0.3249021,0
1,5,0.3612556,0
1,5,0.4056859,0
1,5,0.4420352,0
1,5,0.4824233,0
1,5,0.5228114,0
1,5,0.5631995,0
1,5,0.6076264,0
1,5,0.6480145,0
1,5,0.6884027,0
1,5,0.7276034,0
1,5,0.7640338,0
1,5,0.8004642,0
1,5,0.8368945,0
1,5,0.8733249,0
1,5,0.9097552,0
1,5,0.9461856,0
1,5,0.9826159,0
1,5,1.019046,0
1,5,1.055477,0
1,5,1.091907,0
1,5,1.128337,0
1,5,1.164768,0
1,5,1.201198,0
1,5,1.237628,0
1,5,1.259809,0
1,5,1.259809,0
1,5,1.259809,-0.01155853
1,5,1.200254,-0.362102
1,5,0.7153592,-0.9732108
1,5,0.1598058,-1.528764
1,5,-0.3401923,-2.028762
1,5,-0.8957458,-2.584316
1,5,-1.451299,-3.139869
1,5,-2.006853,-3.695423
1,5,-2.562406,-4.250976
1,5,-3.117959,-4.80653
1,5,-3.729069,-5.417638
1,5,-4.284624,-5.973192
1,5,-4.840177,-6.528745
1,5,-5.39573,-7.084299
1,5,-5.951284,-7.639852
1,5,-6.506837,-8.195406
1,5,-7.062391,-8.750959
1,5,-7.617944,-9.306513
1,5,-8.062387,-9.750956
1,5,-8.062387,-9.750956
1,5,-8.062387,-9.750956
1,5,-8.062387,-9.750956
1,5,-8.062387,-9.750956
1,5,-8.062387,-9.750956
1,5,-7.966821,-9.608223
1,5,-7.74194,-9.339119
1,5,-7.691703,-9.328505
1,5,-7.686489,-9.390404
1,5,-7.686489,-9.945957
1,5,-7.705133,-10.50151
1,5,-7.770176,-11.02038
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.09183
1,5,-7.823037,-11.12189
1,5,-7.823037,-11.19677
1,5,-7.823037,-11.19677
