ParticipantID,Session-number,BlockID,time-stamp,x,z
,,2,38.81237,-1.879877,-19.80778
,,2,38.92367,-1.877059,-19.79544
,,2,39.03653,-1.877059,-19.79544
,,2,39.14728,-1.877059,-19.79544
,,2,39.25882,-1.877059,-19.79544
,,2,39.37108,-1.877059,-19.70021
,,2,39.48235,-1.877059,-19.32524
,,2,39.59396,-1.877059,-18.80419
,,2,39.70614,-1.877059,-18.24864
,,2,39.81732,-1.877059,-17.7432
,,2,39.92905,-1.877059,-17.7432
,,2,40.04095,-1.877059,-17.7432
,,2,40.1525,-1.877059,-17.7432
,,2,40.26413,-1.877059,-17.7432
,,2,40.37585,-1.877059,-17.7432
,,2,40.48756,-1.877059,-17.7432
,,2,40.59938,-1.877059,-17.7432
,,2,40.71102,-1.877059,-17.72645
,,2,40.82264,-1.877059,-17.41194
,,2,40.93449,-1.877059,-16.85638
,,2,41.04613,-1.877059,-16.30083
,,2,41.15789,-1.877059,-15.74528
,,2,41.26993,-1.877059,-15.39457
,,2,41.38134,-1.877059,-15.38847
,,2,41.4929,-1.877059,-15.38847
,,2,41.6053,-1.877059,-15.38847
,,2,41.71637,-1.877059,-15.38847
,,2,41.82802,-1.877059,-15.38847
,,2,41.93996,-1.877059,-15.38847
,,2,42.05134,-1.877059,-15.38847
,,2,42.16338,-1.877059,-15.38847
,,2,42.2752,-1.877059,-15.38847
,,2,42.38673,-1.877059,-15.38847
,,2,42.49835,-1.877059,-15.38847
,,2,42.61008,-1.877059,-15.38847
,,2,42.722,-1.877059,-15.38847
,,2,42.83369,-1.877059,-15.38847
,,2,64.96565,0,0
,,2,65.07362,0,0
,,2,65.19653,0,0
,,2,65.3084,0,0
,,2,65.41952,0,0
,,2,65.53107,0,0
,,2,65.64295,0,0
,,2,65.75486,0,0
,,2,65.8664,0,0
,,2,65.97829,0,0
,,2,66.08984,0,0
,,2,66.2018,0,0
,,2,66.3131,0,-0.1766143
,,2,66.42475,0,-0.7101188
,,2,66.53683,0,-1.265672
,,2,66.64819,0,-1.821226
,,2,66.75979,0,-2.376779
,,2,66.87167,0,-2.932333
,,2,66.9834,0,-3.487886
,,2,67.09493,-0.05623388,-4.043439
,,2,67.20696,-0.2706485,-4.578843
,,2,67.31841,-0.6194186,-5.033303
,,2,67.43114,-1.092283,-5.367374
,,2,67.54188,-1.633029,-5.595237
,,2,67.65357,-2.188582,-5.754928
,,2,67.76514,-2.35338,-5.794182
,,2,67.87706,-2.35338,-5.794182
,,2,67.98869,-2.35338,-5.794182
,,2,68.1004,-2.35338,-5.794182
,,2,68.21221,-2.35338,-5.794182
,,2,68.32378,-2.35338,-5.794182
,,2,68.43561,-2.35338,-5.794182
,,2,87.59182,0,0
,,2,87.69376,0,0
,,2,87.80483,0,0
,,2,87.91632,0,0
,,2,88.02811,0,0
,,2,88.13966,0,0
,,2,88.25145,0,0
,,2,88.37446,0,0
,,2,88.48595,0,0
,,2,107.0097,0,0
,,2,107.1177,0,0
,,2,107.2426,0,0
,,2,107.3524,0,0
,,2,107.4643,0,0
,,2,107.5761,0,0
,,2,107.688,0,0
,,2,107.7994,0,0
,,2,107.9113,0,0
,,2,108.023,0,0
,,2,108.1346,0,0
,,2,108.2465,0,0
,,2,108.3581,0,0
,,2,108.4694,0,0
,,2,108.5812,0,0
,,2,108.6934,0,0
,,2,108.8046,0,0
,,2,108.9163,0,-0.1801291
,,2,109.0283,0,-0.6689067
,,2,109.1398,0,-1.22446
,,2,109.2512,0,-1.780014
,,2,109.3639,0,-2.335567
,,2,109.476,0,-2.89112
,,2,109.5866,0,-3.378311
,,2,109.6983,0,-3.715316
,,2,109.8103,0,-3.7994
,,2,109.9216,0,-3.7994
,,2,110.0334,0,-3.7994
,,2,110.1451,0,-3.7994
,,2,110.2568,0,-3.7994
,,2,110.3685,0,-3.7994
,,2,110.4807,0,-3.7994
,,2,110.592,0,-3.7994
,,2,110.7034,0,-3.7994
,,2,110.8152,0,-3.7994
,,2,110.9272,0,-3.7994
,,2,111.0387,0,-3.896197
,,2,111.1505,0,-4.417652
,,2,111.2622,0,-4.973205
,,2,111.3739,0,-5.528759
,,2,111.4858,0,-6.084312
,,2,111.5976,0,-6.58072
,,2,111.709,0,-6.619709
,,2,111.8206,0,-6.619709
,,2,111.9323,0,-6.619709
,,2,112.0452,0,-6.619709
,,2,112.1569,0,-6.619709
,,2,112.2676,0,-6.619709
,,2,112.3791,0,-6.619709
