ParticipantID,Session-number,BlockID,time-stamp,x,z
00,1,2,220.2321,2.561964,-7.665307
00,1,2,220.3431,2.561964,-7.665307
00,1,2,220.4548,2.561964,-7.665307
00,1,2,220.5666,2.561964,-7.665307
00,1,2,220.6791,2.561964,-7.665307
00,1,2,220.7901,2.561964,-7.665307
00,1,2,220.902,2.561964,-7.665307
00,1,2,221.014,2.450927,-7.665307
00,1,2,221.1252,2.365961,-7.665307
00,1,2,221.2372,2.365961,-7.665307
00,1,2,221.349,2.365961,-7.665307
00,1,2,221.4605,2.365961,-7.665307
00,1,2,221.5722,2.490457,-7.665307
00,1,2,221.6839,2.490457,-7.665307
00,1,2,405.1774,0,0
00,1,2,405.2892,0,0
00,1,2,405.4012,0,0
00,1,2,405.5124,0,0
00,1,2,405.6243,0,0
00,1,2,405.7357,0,0
00,1,2,405.8474,0,0
00,1,2,405.9592,0,0
00,1,2,406.0706,0,0
00,1,2,406.1832,0,0
00,1,2,406.2949,0,0
00,1,2,406.4064,0,0
00,1,2,406.5172,0,0
00,1,2,406.629,0,0
00,1,2,406.7407,0,0
00,1,2,406.8526,0,0
00,1,2,406.9646,0,0
00,1,2,407.0763,0,0
00,1,2,407.1883,0,0
00,1,2,407.2997,0,0
00,1,2,407.4114,0,0
00,1,2,407.5231,0,0
00,1,2,407.6349,0,0
00,1,2,407.7469,0,0
00,1,2,407.8587,0,0
00,1,2,407.9698,0,0.005744934
00,1,2,408.0815,0,0.04477406
00,1,2,408.1934,0,0.07047224
00,1,2,408.305,0,0.07047224
00,1,2,408.4169,0,0.07047224
00,1,2,408.5288,-0.004381657,0.117094
00,1,2,408.6401,-0.1657724,0.4370856
00,1,2,408.7516,-0.4064403,0.8979769
00,1,2,408.8634,-0.613605,1.410551
00,1,2,408.9752,-0.8141198,1.929078
00,1,2,409.0869,-1.034184,2.425791
00,1,2,409.1986,-1.350654,2.850233
00,1,2,409.3105,-1.722772,3.237482
00,1,2,409.4222,-2.035559,3.671402
00,1,2,409.5338,-2.331192,4.181354
00,1,2,409.6455,-2.598107,4.646046
00,1,2,409.7573,-2.879378,5.096655
00,1,2,409.8687,-3.189514,5.524148
00,1,2,409.9806,-3.557577,5.907767
00,1,2,410.0924,-4.015473,6.184754
00,1,2,410.2042,-4.540161,6.375194
00,1,2,410.3156,-5.069889,6.560788
00,1,2,410.4274,-5.599617,6.746383
00,1,2,410.5388,-6.128615,6.939786
00,1,2,410.6507,-6.654536,7.144428
00,1,2,410.7625,-7.167484,7.365263
00,1,2,410.8743,-7.63947,7.640234
00,1,2,410.9857,-8.058951,7.979052
00,1,2,411.0975,-8.248589,8.489127
00,1,2,411.2093,-8.257438,8.759906
00,1,2,411.321,-8.257438,8.759906
00,1,2,411.4327,-8.257438,8.759906
00,1,2,411.5444,-8.257438,8.759906
00,1,2,411.6563,-8.257438,8.759906
00,1,2,411.7678,-8.349651,8.761677
00,1,2,411.8794,-8.550887,8.877157
00,1,2,411.9911,-8.942657,9.095672
00,1,2,412.1028,-8.9811,9.151482
00,1,2,412.2146,-8.9811,9.151482
00,1,2,412.3266,-8.9811,9.151482
00,1,2,412.4382,-8.9811,9.143071
00,1,2,412.5498,-8.9811,8.870203
00,1,2,412.6616,-8.98156,8.659022
00,1,2,412.7731,-8.98156,8.659022
00,1,2,412.8849,-8.989712,8.659022
00,1,2,412.9965,-9.338659,8.659022
00,1,2,413.1081,-9.338659,8.659022
00,1,2,413.22,-9.338659,8.659022
00,1,2,413.3317,-9.338659,8.659022
00,1,2,413.4433,-9.338659,8.659022
00,1,2,413.5551,-9.338659,8.60261
00,1,2,413.6666,-9.264684,8.296298
00,1,2,413.7784,-9.212234,8.189623
00,1,2,413.8904,-9.432202,8.203312
00,1,2,414.0021,-9.798617,8.34085
00,1,2,414.1136,-10.01507,8.453473
00,1,2,414.2251,-10.01507,8.453473
00,1,2,414.3368,-10.01507,8.453473
00,1,2,414.4487,-10.01711,8.521287
00,1,2,414.5606,-10.04571,8.680926
00,1,2,414.6719,-10.04571,8.680926
00,1,2,414.7841,-10.04571,8.680926
00,1,2,414.8956,-10.04571,8.680926
00,1,2,415.0071,-10.10687,8.697198
00,1,2,415.1187,-10.10687,8.697198
00,1,2,415.2304,-10.10687,8.697198
00,1,2,415.3421,-10.10687,8.697198
00,1,2,415.4538,-10.10687,8.697198
00,1,2,415.566,-10.10687,8.697198
00,1,2,415.6775,-10.10687,8.697198
00,1,2,415.7891,-10.10687,8.697198
00,1,2,415.9008,-10.11726,8.697198
00,1,2,416.0126,-10.13002,8.697198
00,1,2,416.1245,-10.13002,8.697198
00,1,2,416.2358,-10.13002,8.697198
00,1,2,416.3478,-10.13002,8.697198
00,1,2,416.4592,-10.13002,8.697198
00,1,2,416.571,-10.14334,8.697198
00,1,2,416.6826,-10.14334,8.697198
00,1,2,416.7944,-10.14334,8.697198
00,1,2,416.9061,-10.14334,8.697198
00,1,2,417.0179,-10.16953,8.697198
00,1,2,417.1296,-10.16953,8.697198
00,1,2,417.2411,-10.16953,8.697198
00,1,2,417.3531,-10.2604,8.697198
00,1,2,417.4646,-10.2604,8.697198
00,1,2,417.5762,-10.2604,8.697198
00,1,2,417.6883,-10.2604,8.697198
00,1,2,417.7998,-10.2604,8.697198
00,1,2,417.9117,-10.2604,8.697198
00,1,2,418.0232,-10.2604,8.697198
00,1,2,418.1351,-10.2604,8.697198
00,1,2,418.2469,-10.31826,8.697198
00,1,2,418.3585,-10.31826,8.697198
00,1,2,418.4698,-10.31826,8.697198
00,1,2,418.5816,-10.55605,8.697198
00,1,2,418.6938,-10.66585,8.697198
00,1,2,418.8049,-10.66585,8.697198
00,1,2,418.9169,-10.66585,8.697198
00,1,2,419.0284,-10.72317,8.697198
00,1,2,419.1401,-10.72317,8.697198
00,1,2,419.2518,-10.72317,8.697198
00,1,2,419.3634,-10.72317,8.697198
00,1,2,419.4754,-10.72317,8.697198
00,1,2,419.5867,-10.67634,8.75499
00,1,2,419.6985,-10.6373,8.786725
00,1,2,419.8104,-10.6373,8.786725
00,1,2,419.9221,-10.6373,8.786725
00,1,2,420.0338,-10.63604,8.786725
00,1,2,420.1454,-10.63604,8.786725
00,1,2,420.2574,-10.63604,8.786725
00,1,2,420.3688,-10.2881,8.786725
00,1,2,420.481,-10.10965,8.791944
